cell_id,donor,cell_type,species,batch_nn,dataset,leiden
celseq_D3en1_37,D3,acinar,human,celseq,celseq,2
celseq_D3en1_41,D3,acinar,human,celseq,celseq,2
celseq_D3en1_45,D3,acinar,human,celseq,celseq,2
celseq_D3en1_48,D3,acinar,human,celseq,celseq,2
celseq_D3en1_49,D3,acinar,human,celseq,celseq,2
celseq_D3en1_50,D3,ductal,human,celseq,celseq,1
celseq_D3en1_56,D3,acinar,human,celseq,celseq,2
celseq_D3en1_60,D3,ductal,human,celseq,celseq,16
celseq_D3en1_63,D3,stellate,human,celseq,celseq,2
celseq_D3en1_68,D3,acinar,human,celseq,celseq,2
celseq_D3en1_69,D3,beta,human,celseq,celseq,3
celseq_D3en1_71,D3,ductal,human,celseq,celseq,1
celseq_D3en1_73,D3,acinar,human,celseq,celseq,2
celseq_D3en1_75,D3,ductal,human,celseq,celseq,1
celseq_D3en1_87,D3,ductal,human,celseq,celseq,1
celseq_D3en1_88,D3,ductal,human,celseq,celseq,1
celseq_D3en2_5,D3,acinar,human,celseq,celseq,2
celseq_D3en2_6,D3,acinar,human,celseq,celseq,2
celseq_D3en2_21,D3,acinar,human,celseq,celseq,2
celseq_D3en2_23,D3,acinar,human,celseq,celseq,2
celseq_D3en2_24,D3,ductal,human,celseq,celseq,16
celseq_D3en2_25,D3,acinar,human,celseq,celseq,2
celseq_D3en2_27,D3,acinar,human,celseq,celseq,2
celseq_D3en2_32,D3,acinar,human,celseq,celseq,2
celseq_D3en2_33,D3,acinar,human,celseq,celseq,2
celseq_D3en2_37,D3,acinar,human,celseq,celseq,2
celseq_D3en2_39,D3,acinar,human,celseq,celseq,2
celseq_D3en2_42,D3,acinar,human,celseq,celseq,2
celseq_D3en2_45,D3,acinar,human,celseq,celseq,2
celseq_D3en2_48,D3,acinar,human,celseq,celseq,2
celseq_D3en2_57,D3,acinar,human,celseq,celseq,2
celseq_D3en2_58,D3,alpha,human,celseq,celseq,7
celseq_D3en2_60,D3,ductal,human,celseq,celseq,1
celseq_D3en2_66,D3,acinar,human,celseq,celseq,2
celseq_D3en2_68,D3,ductal,human,celseq,celseq,16
celseq_D3en2_71,D3,ductal,human,celseq,celseq,1
celseq_D3en2_72,D3,acinar,human,celseq,celseq,2
celseq_D3en2_74,D3,acinar,human,celseq,celseq,2
celseq_D3en2_90,D3,acinar,human,celseq,celseq,2
celseq_D3en3_2,D3,acinar,human,celseq,celseq,2
celseq_D3en3_39,D3,acinar,human,celseq,celseq,2
celseq_D3en3_46,D3,acinar,human,celseq,celseq,2
celseq_D3en3_51,D3,beta,human,celseq,celseq,0
celseq_D3en3_64,D3,acinar,human,celseq,celseq,2
celseq_D3en3_68,D3,acinar,human,celseq,celseq,9
celseq_D3en3_72,D3,acinar,human,celseq,celseq,2
celseq_D3en3_87,D3,ductal,human,celseq,celseq,1
celseq_D3en4_4,D3,ductal,human,celseq,celseq,16
celseq_D3en4_6,D3,ductal,human,celseq,celseq,15
celseq_D3en4_7,D3,acinar,human,celseq,celseq,2
celseq_D3en4_8,D3,acinar,human,celseq,celseq,2
celseq_D3en4_9,D3,acinar,human,celseq,celseq,2
celseq_D3en4_12,D3,acinar,human,celseq,celseq,2
celseq_D3en4_14,D3,acinar,human,celseq,celseq,2
celseq_D3en4_20,D3,acinar,human,celseq,celseq,2
celseq_D3en4_23,D3,ductal,human,celseq,celseq,1
celseq_D3en4_25,D3,acinar,human,celseq,celseq,2
celseq_D3en4_26,D3,acinar,human,celseq,celseq,2
celseq_D3en4_30,D3,acinar,human,celseq,celseq,2
celseq_D3en4_31,D3,acinar,human,celseq,celseq,2
celseq_D3en4_32,D3,acinar,human,celseq,celseq,2
celseq_D3en4_33,D3,delta,human,celseq,celseq,5
celseq_D3en4_35,D3,acinar,human,celseq,celseq,2
celseq_D3en4_39,D3,acinar,human,celseq,celseq,2
celseq_D3en4_41,D3,ductal,human,celseq,celseq,1
celseq_D3en4_42,D3,acinar,human,celseq,celseq,9
celseq_D3en4_46,D3,acinar,human,celseq,celseq,2
celseq_D3en4_47,D3,alpha,human,celseq,celseq,7
celseq_D3en4_48,D3,acinar,human,celseq,celseq,2
celseq_D3en4_54,D3,acinar,human,celseq,celseq,2
celseq_D3en4_56,D3,beta,human,celseq,celseq,0
celseq_D3en4_60,D3,acinar,human,celseq,celseq,2
celseq_D3en4_61,D3,ductal,human,celseq,celseq,1
celseq_D3en4_63,D3,ductal,human,celseq,celseq,1
celseq_D3en4_64,D3,ductal,human,celseq,celseq,1
celseq_D3en4_65,D3,ductal,human,celseq,celseq,1
celseq_D3en4_68,D3,acinar,human,celseq,celseq,2
celseq_D3en4_69,D3,acinar,human,celseq,celseq,2
celseq_D3en4_71,D3,ductal,human,celseq,celseq,7
celseq_D3en4_72,D3,acinar,human,celseq,celseq,2
celseq_D3en4_73,D3,ductal,human,celseq,celseq,1
celseq_D3en4_74,D3,ductal,human,celseq,celseq,3
celseq_D3en4_83,D3,acinar,human,celseq,celseq,2
celseq_D3en4_87,D3,acinar,human,celseq,celseq,2
celseq_D3en4_91,D3,alpha,human,celseq,celseq,7
celseq_D3en4_92,D3,acinar,human,celseq,celseq,2
celseq_D3ex_5,D3,acinar,human,celseq,celseq,2
celseq_D3ex_6,D3,acinar,human,celseq,celseq,2
celseq_D3ex_9,D3,ductal,human,celseq,celseq,1
celseq_D3ex_12,D3,ductal,human,celseq,celseq,1
celseq_D3ex_34,D3,ductal,human,celseq,celseq,2
celseq_D3ex_36,D3,acinar,human,celseq,celseq,2
celseq_D3ex_68,D3,acinar,human,celseq,celseq,2
celseq_D3ex_71,D3,acinar,human,celseq,celseq,2
celseq_D3ex_74,D3,acinar,human,celseq,celseq,2
celseq_D3ex_76,D3,acinar,human,celseq,celseq,2
celseq_D3ex_77,D3,ductal,human,celseq,celseq,5
celseq_D3ex_83,D3,acinar,human,celseq,celseq,2
celseq_D3ex_91,D3,ductal,human,celseq,celseq,1
celseq_D74_1,D7,beta,human,celseq,celseq,3
celseq_D74_2,D7,beta,human,celseq,celseq,3
celseq_D74_3,D7,beta,human,celseq,celseq,0
celseq_D74_5,D7,ductal,human,celseq,celseq,0
celseq_D74_6,D7,ductal,human,celseq,celseq,1
celseq_D74_7,D7,stellate,human,celseq,celseq,11
celseq_D74_8,D7,alpha,human,celseq,celseq,6
celseq_D74_9,D7,delta,human,celseq,celseq,5
celseq_D74_10,D7,beta,human,celseq,celseq,3
celseq_D74_13,D7,ductal,human,celseq,celseq,1
celseq_D74_14,D7,acinar,human,celseq,celseq,2
celseq_D74_15,D7,ductal,human,celseq,celseq,16
celseq_D74_16,D7,beta,human,celseq,celseq,3
celseq_D74_17,D7,ductal,human,celseq,celseq,1
celseq_D74_18,D7,ductal,human,celseq,celseq,1
celseq_D74_20,D7,delta,human,celseq,celseq,5
celseq_D74_22,D7,ductal,human,celseq,celseq,1
celseq_D74_23,D7,ductal,human,celseq,celseq,1
celseq_D74_24,D7,ductal,human,celseq,celseq,1
celseq_D74_25,D7,delta,human,celseq,celseq,5
celseq_D74_26,D7,ductal,human,celseq,celseq,1
celseq_D74_27,D7,ductal,human,celseq,celseq,1
celseq_D74_28,D7,ductal,human,celseq,celseq,1
celseq_D74_29,D7,alpha,human,celseq,celseq,6
celseq_D74_31,D7,ductal,human,celseq,celseq,1
celseq_D74_32,D7,alpha,human,celseq,celseq,6
celseq_D74_33,D7,beta,human,celseq,celseq,0
celseq_D74_34,D7,ductal,human,celseq,celseq,15
celseq_D74_35,D7,beta,human,celseq,celseq,0
celseq_D74_36,D7,beta,human,celseq,celseq,3
celseq_D74_37,D7,ductal,human,celseq,celseq,1
celseq_D74_39,D7,ductal,human,celseq,celseq,9
celseq_D74_40,D7,delta,human,celseq,celseq,5
celseq_D74_41,D7,alpha,human,celseq,celseq,7
celseq_D74_42,D7,alpha,human,celseq,celseq,4
celseq_D74_43,D7,ductal,human,celseq,celseq,1
celseq_D74_44,D7,stellate,human,celseq,celseq,11
celseq_D74_45,D7,stellate,human,celseq,celseq,11
celseq_D74_46,D7,ductal,human,celseq,celseq,1
celseq_D74_47,D7,ductal,human,celseq,celseq,1
celseq_D74_49,D7,beta,human,celseq,celseq,3
celseq_D74_51,D7,beta,human,celseq,celseq,3
celseq_D74_52,D7,alpha,human,celseq,celseq,4
celseq_D74_53,D7,beta,human,celseq,celseq,0
celseq_D74_54,D7,ductal,human,celseq,celseq,1
celseq_D74_55,D7,alpha,human,celseq,celseq,6
celseq_D74_56,D7,alpha,human,celseq,celseq,6
celseq_D74_57,D7,alpha,human,celseq,celseq,4
celseq_D74_58,D7,ductal,human,celseq,celseq,1
celseq_D74_59,D7,delta,human,celseq,celseq,5
celseq_D74_60,D7,ductal,human,celseq,celseq,1
celseq_D74_61,D7,beta,human,celseq,celseq,3
celseq_D74_62,D7,acinar,human,celseq,celseq,2
celseq_D74_63,D7,ductal,human,celseq,celseq,1
celseq_D74_65,D7,beta,human,celseq,celseq,0
celseq_D74_66,D7,delta,human,celseq,celseq,5
celseq_D74_67,D7,alpha,human,celseq,celseq,4
celseq_D74_68,D7,alpha,human,celseq,celseq,4
celseq_D74_69,D7,ductal,human,celseq,celseq,1
celseq_D74_70,D7,alpha,human,celseq,celseq,6
celseq_D74_71,D7,ductal,human,celseq,celseq,1
celseq_D74_75,D7,alpha,human,celseq,celseq,9
celseq_D74_76,D7,acinar,human,celseq,celseq,2
celseq_D74_77,D7,beta,human,celseq,celseq,3
celseq_D74_78,D7,ductal,human,celseq,celseq,1
celseq_D74_79,D7,ductal,human,celseq,celseq,1
celseq_D74_81,D7,acinar,human,celseq,celseq,2
celseq_D74_82,D7,beta,human,celseq,celseq,0
celseq_D74_83,D7,beta,human,celseq,celseq,3
celseq_D74_85,D7,alpha,human,celseq,celseq,6
celseq_D74_86,D7,beta,human,celseq,celseq,3
celseq_D74_87,D7,alpha,human,celseq,celseq,7
celseq_D74_88,D7,alpha,human,celseq,celseq,6
celseq_D74_90,D7,acinar,human,celseq,celseq,2
celseq_D74_91,D7,ductal,human,celseq,celseq,1
celseq_D74_92,D7,beta,human,celseq,celseq,3
celseq_D74_93,D7,ductal,human,celseq,celseq,1
celseq_D74_94,D7,ductal,human,celseq,celseq,1
celseq_D74_95,D7,alpha,human,celseq,celseq,6
celseq_D71_2,D7,acinar,human,celseq,celseq,2
celseq_D71_3,D7,alpha,human,celseq,celseq,4
celseq_D71_4,D7,beta,human,celseq,celseq,3
celseq_D71_5,D7,acinar,human,celseq,celseq,2
celseq_D71_6,D7,ductal,human,celseq,celseq,1
celseq_D71_9,D7,beta,human,celseq,celseq,3
celseq_D71_10,D7,acinar,human,celseq,celseq,2
celseq_D71_12,D7,ductal,human,celseq,celseq,1
celseq_D71_14,D7,ductal,human,celseq,celseq,1
celseq_D71_15,D7,beta,human,celseq,celseq,3
celseq_D71_16,D7,acinar,human,celseq,celseq,2
celseq_D71_18,D7,ductal,human,celseq,celseq,1
celseq_D71_19,D7,beta,human,celseq,celseq,3
celseq_D71_20,D7,alpha,human,celseq,celseq,6
celseq_D71_21,D7,ductal,human,celseq,celseq,0
celseq_D71_22,D7,stellate,human,celseq,celseq,11
celseq_D71_23,D7,ductal,human,celseq,celseq,1
celseq_D71_27,D7,ductal,human,celseq,celseq,1
celseq_D71_29,D7,beta,human,celseq,celseq,3
celseq_D71_30,D7,beta,human,celseq,celseq,3
celseq_D71_31,D7,ductal,human,celseq,celseq,1
celseq_D71_33,D7,ductal,human,celseq,celseq,1
celseq_D71_34,D7,acinar,human,celseq,celseq,2
celseq_D71_35,D7,delta,human,celseq,celseq,5
celseq_D71_37,D7,alpha,human,celseq,celseq,7
celseq_D71_39,D7,acinar,human,celseq,celseq,1
celseq_D71_40,D7,alpha,human,celseq,celseq,6
celseq_D71_41,D7,ductal,human,celseq,celseq,1
celseq_D71_42,D7,beta,human,celseq,celseq,3
celseq_D71_43,D7,alpha,human,celseq,celseq,6
celseq_D71_48,D7,delta,human,celseq,celseq,5
celseq_D71_51,D7,beta,human,celseq,celseq,3
celseq_D71_52,D7,ductal,human,celseq,celseq,1
celseq_D71_53,D7,ductal,human,celseq,celseq,5
celseq_D71_54,D7,beta,human,celseq,celseq,3
celseq_D71_55,D7,beta,human,celseq,celseq,3
celseq_D71_56,D7,ductal,human,celseq,celseq,1
celseq_D71_57,D7,beta,human,celseq,celseq,3
celseq_D71_58,D7,stellate,human,celseq,celseq,11
celseq_D71_59,D7,delta,human,celseq,celseq,5
celseq_D71_61,D7,beta,human,celseq,celseq,3
celseq_D71_62,D7,beta,human,celseq,celseq,3
celseq_D71_64,D7,ductal,human,celseq,celseq,1
celseq_D71_65,D7,ductal,human,celseq,celseq,1
celseq_D71_66,D7,ductal,human,celseq,celseq,1
celseq_D71_67,D7,ductal,human,celseq,celseq,1
celseq_D71_68,D7,stellate,human,celseq,celseq,14
celseq_D71_69,D7,ductal,human,celseq,celseq,1
celseq_D71_70,D7,ductal,human,celseq,celseq,15
celseq_D71_71,D7,ductal,human,celseq,celseq,1
celseq_D71_72,D7,acinar,human,celseq,celseq,2
celseq_D71_73,D7,ductal,human,celseq,celseq,1
celseq_D71_75,D7,ductal,human,celseq,celseq,1
celseq_D71_76,D7,alpha,human,celseq,celseq,6
celseq_D71_78,D7,acinar,human,celseq,celseq,2
celseq_D71_79,D7,delta,human,celseq,celseq,5
celseq_D71_80,D7,ductal,human,celseq,celseq,2
celseq_D71_81,D7,ductal,human,celseq,celseq,1
celseq_D71_82,D7,beta,human,celseq,celseq,3
celseq_D71_83,D7,beta,human,celseq,celseq,3
celseq_D71_84,D7,beta,human,celseq,celseq,3
celseq_D71_85,D7,ductal,human,celseq,celseq,1
celseq_D71_86,D7,beta,human,celseq,celseq,3
celseq_D71_87,D7,delta,human,celseq,celseq,5
celseq_D71_91,D7,delta,human,celseq,celseq,5
celseq_D71_92,D7,acinar,human,celseq,celseq,2
celseq_D71_93,D7,alpha,human,celseq,celseq,6
celseq_D71_94,D7,delta,human,celseq,celseq,5
celseq_D71_95,D7,ductal,human,celseq,celseq,1
celseq_D72_1,D7,acinar,human,celseq,celseq,2
celseq_D72_4,D7,ductal,human,celseq,celseq,1
celseq_D72_18,D7,acinar,human,celseq,celseq,2
celseq_D72_22,D7,acinar,human,celseq,celseq,2
celseq_D72_23,D7,ductal,human,celseq,celseq,1
celseq_D72_31,D7,ductal,human,celseq,celseq,1
celseq_D72_32,D7,ductal,human,celseq,celseq,1
celseq_D72_33,D7,acinar,human,celseq,celseq,2
celseq_D72_37,D7,ductal,human,celseq,celseq,1
celseq_D72_42,D7,beta,human,celseq,celseq,3
celseq_D72_43,D7,ductal,human,celseq,celseq,1
celseq_D72_49,D7,ductal,human,celseq,celseq,1
celseq_D72_52,D7,ductal,human,celseq,celseq,1
celseq_D72_53,D7,ductal,human,celseq,celseq,1
celseq_D72_61,D7,ductal,human,celseq,celseq,1
celseq_D72_65,D7,ductal,human,celseq,celseq,1
celseq_D72_66,D7,ductal,human,celseq,celseq,1
celseq_D72_67,D7,alpha,human,celseq,celseq,8
celseq_D72_68,D7,ductal,human,celseq,celseq,1
celseq_D72_69,D7,delta,human,celseq,celseq,5
celseq_D72_71,D7,delta,human,celseq,celseq,5
celseq_D72_72,D7,ductal,human,celseq,celseq,1
celseq_D72_75,D7,delta,human,celseq,celseq,5
celseq_D72_76,D7,ductal,human,celseq,celseq,1
celseq_D72_78,D7,ductal,human,celseq,celseq,16
celseq_D72_81,D7,beta,human,celseq,celseq,3
celseq_D72_82,D7,ductal,human,celseq,celseq,1
celseq_D72_84,D7,beta,human,celseq,celseq,3
celseq_D72_85,D7,alpha,human,celseq,celseq,6
celseq_D72_86,D7,ductal,human,celseq,celseq,1
celseq_D72_88,D7,alpha,human,celseq,celseq,6
celseq_D72_91,D7,alpha,human,celseq,celseq,4
celseq_D72_93,D7,ductal,human,celseq,celseq,1
celseq_D72_95,D7,acinar,human,celseq,celseq,2
celseq_D72_96,D7,beta,human,celseq,celseq,3
celseq_D73_1,D7,alpha,human,celseq,celseq,4
celseq_D73_2,D7,ductal,human,celseq,celseq,1
celseq_D73_3,D7,alpha,human,celseq,celseq,7
celseq_D73_4,D7,beta,human,celseq,celseq,3
celseq_D73_5,D7,ductal,human,celseq,celseq,1
celseq_D73_6,D7,alpha,human,celseq,celseq,6
celseq_D73_8,D7,ductal,human,celseq,celseq,1
celseq_D73_9,D7,beta,human,celseq,celseq,3
celseq_D73_10,D7,alpha,human,celseq,celseq,6
celseq_D73_11,D7,ductal,human,celseq,celseq,1
celseq_D73_12,D7,beta,human,celseq,celseq,3
celseq_D73_14,D7,alpha,human,celseq,celseq,7
celseq_D73_16,D7,stellate,human,celseq,celseq,11
celseq_D73_17,D7,alpha,human,celseq,celseq,4
celseq_D73_18,D7,ductal,human,celseq,celseq,1
celseq_D73_19,D7,ductal,human,celseq,celseq,1
celseq_D73_20,D7,gamma,human,celseq,celseq,10
celseq_D73_21,D7,beta,human,celseq,celseq,3
celseq_D73_22,D7,beta,human,celseq,celseq,3
celseq_D73_23,D7,ductal,human,celseq,celseq,1
celseq_D73_24,D7,ductal,human,celseq,celseq,1
celseq_D73_25,D7,ductal,human,celseq,celseq,1
celseq_D73_26,D7,ductal,human,celseq,celseq,1
celseq_D73_27,D7,ductal,human,celseq,celseq,1
celseq_D73_28,D7,beta,human,celseq,celseq,0
celseq_D73_29,D7,ductal,human,celseq,celseq,1
celseq_D73_30,D7,delta,human,celseq,celseq,5
celseq_D73_31,D7,alpha,human,celseq,celseq,4
celseq_D73_32,D7,alpha,human,celseq,celseq,4
celseq_D73_33,D7,alpha,human,celseq,celseq,7
celseq_D73_34,D7,ductal,human,celseq,celseq,1
celseq_D73_35,D7,ductal,human,celseq,celseq,2
celseq_D73_36,D7,alpha,human,celseq,celseq,6
celseq_D73_37,D7,acinar,human,celseq,celseq,2
celseq_D73_38,D7,delta,human,celseq,celseq,5
celseq_D73_39,D7,stellate,human,celseq,celseq,11
celseq_D73_40,D7,ductal,human,celseq,celseq,1
celseq_D73_41,D7,alpha,human,celseq,celseq,8
celseq_D73_42,D7,beta,human,celseq,celseq,0
celseq_D73_43,D7,acinar,human,celseq,celseq,2
celseq_D73_46,D7,ductal,human,celseq,celseq,1
celseq_D73_48,D7,acinar,human,celseq,celseq,2
celseq_D73_49,D7,ductal,human,celseq,celseq,1
celseq_D73_50,D7,ductal,human,celseq,celseq,5
celseq_D73_51,D7,ductal,human,celseq,celseq,1
celseq_D73_52,D7,acinar,human,celseq,celseq,2
celseq_D73_54,D7,ductal,human,celseq,celseq,1
celseq_D73_55,D7,beta,human,celseq,celseq,0
celseq_D73_56,D7,endothelial,human,celseq,celseq,13
celseq_D73_57,D7,ductal,human,celseq,celseq,1
celseq_D73_58,D7,alpha,human,celseq,celseq,6
celseq_D73_59,D7,alpha,human,celseq,celseq,4
celseq_D73_60,D7,ductal,human,celseq,celseq,1
celseq_D73_61,D7,beta,human,celseq,celseq,3
celseq_D73_62,D7,beta,human,celseq,celseq,3
celseq_D73_63,D7,ductal,human,celseq,celseq,1
celseq_D73_64,D7,ductal,human,celseq,celseq,1
celseq_D73_65,D7,ductal,human,celseq,celseq,1
celseq_D73_67,D7,beta,human,celseq,celseq,3
celseq_D73_68,D7,acinar,human,celseq,celseq,2
celseq_D73_69,D7,alpha,human,celseq,celseq,6
celseq_D73_70,D7,ductal,human,celseq,celseq,1
celseq_D73_71,D7,ductal,human,celseq,celseq,1
celseq_D73_72,D7,beta,human,celseq,celseq,3
celseq_D73_73,D7,ductal,human,celseq,celseq,1
celseq_D73_76,D7,ductal,human,celseq,celseq,0
celseq_D73_78,D7,ductal,human,celseq,celseq,1
celseq_D73_79,D7,alpha,human,celseq,celseq,6
celseq_D73_81,D7,alpha,human,celseq,celseq,6
celseq_D73_82,D7,delta,human,celseq,celseq,5
celseq_D73_83,D7,acinar,human,celseq,celseq,2
celseq_D73_84,D7,ductal,human,celseq,celseq,3
celseq_D73_85,D7,beta,human,celseq,celseq,3
celseq_D73_86,D7,delta,human,celseq,celseq,5
celseq_D73_87,D7,beta,human,celseq,celseq,3
celseq_D73_89,D7,ductal,human,celseq,celseq,1
celseq_D73_90,D7,delta,human,celseq,celseq,5
celseq_D73_91,D7,beta,human,celseq,celseq,0
celseq_D73_92,D7,beta,human,celseq,celseq,3
celseq_D73_96,D7,ductal,human,celseq,celseq,1
celseq_D10631_2,D10,ductal,human,celseq,celseq,1
celseq_D10631_3,D10,ductal,human,celseq,celseq,1
celseq_D10631_10,D10,ductal,human,celseq,celseq,12
celseq_D10631_15,D10,acinar,human,celseq,celseq,2
celseq_D10631_17,D10,acinar,human,celseq,celseq,2
celseq_D10631_24,D10,ductal,human,celseq,celseq,1
celseq_D10631_29,D10,acinar,human,celseq,celseq,2
celseq_D10631_38,D10,acinar,human,celseq,celseq,6
celseq_D10631_45,D10,ductal,human,celseq,celseq,1
celseq_D10631_48,D10,acinar,human,celseq,celseq,2
celseq_D10631_50,D10,acinar,human,celseq,celseq,8
celseq_D10631_53,D10,acinar,human,celseq,celseq,2
celseq_D10631_54,D10,acinar,human,celseq,celseq,2
celseq_D10631_56,D10,ductal,human,celseq,celseq,1
celseq_D10631_57,D10,acinar,human,celseq,celseq,2
celseq_D10631_61,D10,alpha,human,celseq,celseq,4
celseq_D10631_63,D10,ductal,human,celseq,celseq,1
celseq_D10631_65,D10,ductal,human,celseq,celseq,1
celseq_D10631_66,D10,acinar,human,celseq,celseq,15
celseq_D10631_67,D10,acinar,human,celseq,celseq,2
celseq_D10631_68,D10,ductal,human,celseq,celseq,1
celseq_D10631_69,D10,acinar,human,celseq,celseq,2
celseq_D10631_70,D10,stellate,human,celseq,celseq,11
celseq_D10631_76,D10,ductal,human,celseq,celseq,1
celseq_D10631_85,D10,ductal,human,celseq,celseq,1
celseq_D10631_88,D10,ductal,human,celseq,celseq,0
celseq_D10631_90,D10,ductal,human,celseq,celseq,1
celseq_D10631_91,D10,acinar,human,celseq,celseq,2
celseq_D10631_92,D10,ductal,human,celseq,celseq,1
celseq_D10631_95,D10,ductal,human,celseq,celseq,2
celseq_D10631_96,D10,acinar,human,celseq,celseq,2
celseq_D101_5,D10,gamma,human,celseq,celseq,10
celseq_D101_7,D10,acinar,human,celseq,celseq,2
celseq_D101_10,D10,alpha,human,celseq,celseq,7
celseq_D101_13,D10,delta,human,celseq,celseq,5
celseq_D101_14,D10,beta,human,celseq,celseq,0
celseq_D101_17,D10,ductal,human,celseq,celseq,1
celseq_D101_21,D10,endothelial,human,celseq,celseq,13
celseq_D101_22,D10,delta,human,celseq,celseq,5
celseq_D101_25,D10,alpha,human,celseq,celseq,7
celseq_D101_27,D10,ductal,human,celseq,celseq,1
