cell_id,donor,cell_type,species,batch_nn,dataset,batch,leiden
celseq_D2ex_71-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_72-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_73-0,D2,ductal,human,celseq,celseq,0,10
celseq_D2ex_74-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_75-0,D2,ductal,human,celseq,celseq,0,10
celseq_D2ex_76-0,D2,acinar,human,celseq,celseq,0,5
celseq_D2ex_77-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_78-0,D2,ductal,human,celseq,celseq,0,4
celseq_D2ex_79-0,D2,acinar,human,celseq,celseq,0,5
celseq_D2ex_82-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_83-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_84-0,D2,ductal,human,celseq,celseq,0,10
celseq_D2ex_85-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_86-0,D2,acinar,human,celseq,celseq,0,5
celseq_D2ex_88-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_89-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_90-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_92-0,D2,acinar,human,celseq,celseq,0,5
celseq_D3en1_5-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en1_10-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en1_11-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en1_13-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en1_26-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en1_29-0,D3,ductal,human,celseq,celseq,0,10
celseq_D3en1_30-0,D3,ductal,human,celseq,celseq,0,1
celseq_D3en1_37-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en1_41-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en1_45-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en1_48-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en1_49-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en1_50-0,D3,ductal,human,celseq,celseq,0,1
celseq_D3en1_56-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en1_60-0,D3,ductal,human,celseq,celseq,0,10
celseq_D3en1_63-0,D3,stellate,human,celseq,celseq,0,4
celseq_D3en1_68-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en1_69-0,D3,beta,human,celseq,celseq,0,4
celseq_D3en1_71-0,D3,ductal,human,celseq,celseq,0,1
celseq_D3en1_73-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en1_75-0,D3,ductal,human,celseq,celseq,0,1
celseq_D3en1_87-0,D3,ductal,human,celseq,celseq,0,1
celseq_D3en1_88-0,D3,ductal,human,celseq,celseq,0,1
celseq_D3en2_5-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en2_6-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en2_21-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en2_23-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en2_24-0,D3,ductal,human,celseq,celseq,0,10
celseq_D3en2_25-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en2_27-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en2_32-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en2_33-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en2_37-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en2_39-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en2_42-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en2_45-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en2_48-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en2_57-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en2_58-0,D3,alpha,human,celseq,celseq,0,0
celseq_D3en2_60-0,D3,ductal,human,celseq,celseq,0,1
celseq_D3en2_66-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en2_68-0,D3,ductal,human,celseq,celseq,0,10
celseq_D3en2_71-0,D3,ductal,human,celseq,celseq,0,10
celseq_D3en2_72-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en2_74-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en2_90-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en3_2-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en3_39-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en3_46-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en3_51-0,D3,beta,human,celseq,celseq,0,4
celseq_D3en3_64-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en3_68-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en3_72-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en3_87-0,D3,ductal,human,celseq,celseq,0,1
celseq_D3en4_4-0,D3,ductal,human,celseq,celseq,0,10
celseq_D3en4_6-0,D3,ductal,human,celseq,celseq,0,1
celseq_D3en4_7-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en4_8-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en4_9-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en4_12-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en4_14-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en4_20-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en4_23-0,D3,ductal,human,celseq,celseq,0,1
celseq_D3en4_25-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en4_26-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en4_30-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en4_31-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en4_32-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en4_33-0,D3,delta,human,celseq,celseq,0,11
celseq_D3en4_35-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en4_39-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en4_41-0,D3,ductal,human,celseq,celseq,0,1
celseq_D3en4_42-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en4_46-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en4_47-0,D3,alpha,human,celseq,celseq,0,0
celseq_D3en4_48-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en4_54-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en4_56-0,D3,beta,human,celseq,celseq,0,4
celseq_D3en4_60-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en4_61-0,D3,ductal,human,celseq,celseq,0,1
celseq_D3en4_63-0,D3,ductal,human,celseq,celseq,0,1
celseq_D3en4_64-0,D3,ductal,human,celseq,celseq,0,1
celseq_D3en4_65-0,D3,ductal,human,celseq,celseq,0,1
celseq_D3en4_68-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en4_69-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en4_71-0,D3,ductal,human,celseq,celseq,0,0
celseq_D3en4_72-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en4_73-0,D3,ductal,human,celseq,celseq,0,1
celseq_D3en4_74-0,D3,ductal,human,celseq,celseq,0,5
celseq_D3en4_83-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en4_87-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3en4_91-0,D3,alpha,human,celseq,celseq,0,0
celseq_D3en4_92-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3ex_5-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3ex_6-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3ex_9-0,D3,ductal,human,celseq,celseq,0,1
celseq_D3ex_12-0,D3,ductal,human,celseq,celseq,0,1
celseq_D3ex_34-0,D3,ductal,human,celseq,celseq,0,5
celseq_D3ex_36-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3ex_68-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3ex_71-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3ex_74-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3ex_76-0,D3,acinar,human,celseq,celseq,0,5
celseq_D3ex_77-0,D3,ductal,human,celseq,celseq,0,11
celseq_D3ex_83-0,D3,acinar,human,celseq,celseq,0,8
celseq_D3ex_91-0,D3,ductal,human,celseq,celseq,0,1
celseq_D74_1-0,D7,beta,human,celseq,celseq,0,4
celseq_D74_2-0,D7,beta,human,celseq,celseq,0,4
celseq_D74_3-0,D7,beta,human,celseq,celseq,0,4
celseq_D74_5-0,D7,ductal,human,celseq,celseq,0,4
celseq_D74_6-0,D7,ductal,human,celseq,celseq,0,1
celseq_D74_7-0,D7,stellate,human,celseq,celseq,0,13
celseq_D74_8-0,D7,alpha,human,celseq,celseq,0,0
celseq_D74_9-0,D7,delta,human,celseq,celseq,0,11
celseq_D74_10-0,D7,beta,human,celseq,celseq,0,4
celseq_D74_13-0,D7,ductal,human,celseq,celseq,0,10
celseq_D74_14-0,D7,acinar,human,celseq,celseq,0,5
celseq_D74_15-0,D7,ductal,human,celseq,celseq,0,10
celseq_D74_16-0,D7,beta,human,celseq,celseq,0,4
celseq_D74_17-0,D7,ductal,human,celseq,celseq,0,1
celseq_D74_18-0,D7,ductal,human,celseq,celseq,0,1
celseq_D74_20-0,D7,delta,human,celseq,celseq,0,11
celseq_D74_22-0,D7,ductal,human,celseq,celseq,0,1
celseq_D74_23-0,D7,ductal,human,celseq,celseq,0,1
celseq_D74_24-0,D7,ductal,human,celseq,celseq,0,1
celseq_D74_25-0,D7,delta,human,celseq,celseq,0,11
celseq_D74_26-0,D7,ductal,human,celseq,celseq,0,10
celseq_D74_27-0,D7,ductal,human,celseq,celseq,0,10
celseq_D74_28-0,D7,ductal,human,celseq,celseq,0,1
celseq_D74_29-0,D7,alpha,human,celseq,celseq,0,0
celseq_D74_31-0,D7,ductal,human,celseq,celseq,0,1
celseq_D74_32-0,D7,alpha,human,celseq,celseq,0,0
celseq_D74_33-0,D7,beta,human,celseq,celseq,0,4
celseq_D74_34-0,D7,ductal,human,celseq,celseq,0,1
celseq_D74_35-0,D7,beta,human,celseq,celseq,0,4
celseq_D74_36-0,D7,beta,human,celseq,celseq,0,4
celseq_D74_37-0,D7,ductal,human,celseq,celseq,0,1
celseq_D74_39-0,D7,ductal,human,celseq,celseq,0,10
celseq_D74_40-0,D7,delta,human,celseq,celseq,0,11
celseq_D74_41-0,D7,alpha,human,celseq,celseq,0,0
celseq_D74_42-0,D7,alpha,human,celseq,celseq,0,0
celseq_D74_43-0,D7,ductal,human,celseq,celseq,0,1
celseq_D74_44-0,D7,stellate,human,celseq,celseq,0,13
celseq_D74_45-0,D7,stellate,human,celseq,celseq,0,13
celseq_D74_46-0,D7,ductal,human,celseq,celseq,0,10
celseq_D74_47-0,D7,ductal,human,celseq,celseq,0,1
celseq_D74_49-0,D7,beta,human,celseq,celseq,0,4
celseq_D74_51-0,D7,beta,human,celseq,celseq,0,4
celseq_D74_52-0,D7,alpha,human,celseq,celseq,0,0
celseq_D74_53-0,D7,beta,human,celseq,celseq,0,4
celseq_D74_54-0,D7,ductal,human,celseq,celseq,0,1
celseq_D74_55-0,D7,alpha,human,celseq,celseq,0,0
celseq_D74_56-0,D7,alpha,human,celseq,celseq,0,0
celseq_D74_57-0,D7,alpha,human,celseq,celseq,0,0
celseq_D74_58-0,D7,ductal,human,celseq,celseq,0,1
celseq_D74_59-0,D7,delta,human,celseq,celseq,0,11
celseq_D74_60-0,D7,ductal,human,celseq,celseq,0,1
celseq_D74_61-0,D7,beta,human,celseq,celseq,0,4
celseq_D74_62-0,D7,acinar,human,celseq,celseq,0,5
celseq_D74_63-0,D7,ductal,human,celseq,celseq,0,10
celseq_D74_65-0,D7,beta,human,celseq,celseq,0,4
celseq_D74_66-0,D7,delta,human,celseq,celseq,0,11
celseq_D74_67-0,D7,alpha,human,celseq,celseq,0,0
celseq_D74_68-0,D7,alpha,human,celseq,celseq,0,0
celseq_D74_69-0,D7,ductal,human,celseq,celseq,0,10
celseq_D74_70-0,D7,alpha,human,celseq,celseq,0,0
celseq_D74_71-0,D7,ductal,human,celseq,celseq,0,1
celseq_D74_75-0,D7,alpha,human,celseq,celseq,0,0
celseq_D74_76-0,D7,acinar,human,celseq,celseq,0,5
celseq_D74_77-0,D7,beta,human,celseq,celseq,0,4
celseq_D74_78-0,D7,ductal,human,celseq,celseq,0,1
celseq_D74_79-0,D7,ductal,human,celseq,celseq,0,1
celseq_D74_81-0,D7,acinar,human,celseq,celseq,0,5
celseq_D74_82-0,D7,beta,human,celseq,celseq,0,4
celseq_D74_83-0,D7,beta,human,celseq,celseq,0,4
celseq_D74_85-0,D7,alpha,human,celseq,celseq,0,0
celseq_D74_86-0,D7,beta,human,celseq,celseq,0,4
celseq_D74_87-0,D7,alpha,human,celseq,celseq,0,0
celseq_D74_88-0,D7,alpha,human,celseq,celseq,0,0
celseq_D74_90-0,D7,acinar,human,celseq,celseq,0,5
celseq_D74_91-0,D7,ductal,human,celseq,celseq,0,10
celseq_D74_92-0,D7,beta,human,celseq,celseq,0,4
celseq_D74_93-0,D7,ductal,human,celseq,celseq,0,1
celseq_D74_94-0,D7,ductal,human,celseq,celseq,0,10
celseq_D74_95-0,D7,alpha,human,celseq,celseq,0,0
celseq_D71_2-0,D7,acinar,human,celseq,celseq,0,5
celseq_D71_3-0,D7,alpha,human,celseq,celseq,0,0
celseq_D71_4-0,D7,beta,human,celseq,celseq,0,4
celseq_D71_5-0,D7,acinar,human,celseq,celseq,0,5
celseq_D71_6-0,D7,ductal,human,celseq,celseq,0,1
celseq_D71_9-0,D7,beta,human,celseq,celseq,0,4
celseq_D71_10-0,D7,acinar,human,celseq,celseq,0,5
celseq_D71_12-0,D7,ductal,human,celseq,celseq,0,1
celseq_D71_14-0,D7,ductal,human,celseq,celseq,0,1
celseq_D71_15-0,D7,beta,human,celseq,celseq,0,4
celseq_D71_16-0,D7,acinar,human,celseq,celseq,0,5
celseq_D71_18-0,D7,ductal,human,celseq,celseq,0,1
celseq_D71_19-0,D7,beta,human,celseq,celseq,0,4
celseq_D71_20-0,D7,alpha,human,celseq,celseq,0,0
celseq_D71_21-0,D7,ductal,human,celseq,celseq,0,9
celseq_D71_22-0,D7,stellate,human,celseq,celseq,0,13
celseq_D71_23-0,D7,ductal,human,celseq,celseq,0,1
celseq_D71_27-0,D7,ductal,human,celseq,celseq,0,1
celseq_D71_29-0,D7,beta,human,celseq,celseq,0,4
celseq_D71_30-0,D7,beta,human,celseq,celseq,0,4
celseq_D71_31-0,D7,ductal,human,celseq,celseq,0,20
celseq_D71_33-0,D7,ductal,human,celseq,celseq,0,1
celseq_D71_34-0,D7,acinar,human,celseq,celseq,0,5
celseq_D71_35-0,D7,delta,human,celseq,celseq,0,11
celseq_D71_37-0,D7,alpha,human,celseq,celseq,0,0
celseq_D71_39-0,D7,acinar,human,celseq,celseq,0,5
celseq_D71_40-0,D7,alpha,human,celseq,celseq,0,0
celseq_D71_41-0,D7,ductal,human,celseq,celseq,0,1
celseq_D71_42-0,D7,beta,human,celseq,celseq,0,4
celseq_D71_43-0,D7,alpha,human,celseq,celseq,0,0
celseq_D71_48-0,D7,delta,human,celseq,celseq,0,11
celseq_D71_51-0,D7,beta,human,celseq,celseq,0,4
celseq_D71_52-0,D7,ductal,human,celseq,celseq,0,1
celseq_D71_53-0,D7,ductal,human,celseq,celseq,0,10
celseq_D71_54-0,D7,beta,human,celseq,celseq,0,4
celseq_D71_55-0,D7,beta,human,celseq,celseq,0,4
celseq_D71_56-0,D7,ductal,human,celseq,celseq,0,1
celseq_D71_57-0,D7,beta,human,celseq,celseq,0,4
celseq_D71_58-0,D7,stellate,human,celseq,celseq,0,13
celseq_D71_59-0,D7,delta,human,celseq,celseq,0,11
celseq_D71_61-0,D7,beta,human,celseq,celseq,0,4
celseq_D71_62-0,D7,beta,human,celseq,celseq,0,4
celseq_D71_64-0,D7,ductal,human,celseq,celseq,0,1
celseq_D71_65-0,D7,ductal,human,celseq,celseq,0,1
celseq_D71_66-0,D7,ductal,human,celseq,celseq,0,1
celseq_D71_67-0,D7,ductal,human,celseq,celseq,0,1
celseq_D71_68-0,D7,stellate,human,celseq,celseq,0,13
celseq_D71_69-0,D7,ductal,human,celseq,celseq,0,1
celseq_D71_70-0,D7,ductal,human,celseq,celseq,0,1
celseq_D71_71-0,D7,ductal,human,celseq,celseq,0,1
celseq_D71_72-0,D7,acinar,human,celseq,celseq,0,5
celseq_D71_73-0,D7,ductal,human,celseq,celseq,0,10
celseq_D71_75-0,D7,ductal,human,celseq,celseq,0,1
celseq_D71_76-0,D7,alpha,human,celseq,celseq,0,0
celseq_D71_78-0,D7,acinar,human,celseq,celseq,0,5
celseq_D71_79-0,D7,delta,human,celseq,celseq,0,11
celseq_D71_80-0,D7,ductal,human,celseq,celseq,0,5
celseq_D71_81-0,D7,ductal,human,celseq,celseq,0,1
celseq_D71_82-0,D7,beta,human,celseq,celseq,0,4
celseq_D71_83-0,D7,beta,human,celseq,celseq,0,4
celseq_D71_84-0,D7,beta,human,celseq,celseq,0,4
celseq_D71_85-0,D7,ductal,human,celseq,celseq,0,1
celseq_D71_86-0,D7,beta,human,celseq,celseq,0,9
celseq_D71_87-0,D7,delta,human,celseq,celseq,0,11
celseq_D71_91-0,D7,delta,human,celseq,celseq,0,11
celseq_D71_92-0,D7,acinar,human,celseq,celseq,0,5
celseq_D71_93-0,D7,alpha,human,celseq,celseq,0,0
celseq_D71_94-0,D7,delta,human,celseq,celseq,0,11
celseq_D71_95-0,D7,ductal,human,celseq,celseq,0,1
celseq_D72_1-0,D7,acinar,human,celseq,celseq,0,5
celseq_D72_4-0,D7,ductal,human,celseq,celseq,0,1
celseq_D72_18-0,D7,acinar,human,celseq,celseq,0,5
celseq_D72_22-0,D7,acinar,human,celseq,celseq,0,5
celseq_D72_23-0,D7,ductal,human,celseq,celseq,0,1
celseq_D72_31-0,D7,ductal,human,celseq,celseq,0,10
celseq_D72_32-0,D7,ductal,human,celseq,celseq,0,1
celseq_D72_33-0,D7,acinar,human,celseq,celseq,0,20
celseq_D72_37-0,D7,ductal,human,celseq,celseq,0,1
celseq_D72_42-0,D7,beta,human,celseq,celseq,0,4
celseq_D72_43-0,D7,ductal,human,celseq,celseq,0,10
celseq_D72_49-0,D7,ductal,human,celseq,celseq,0,1
celseq_D72_52-0,D7,ductal,human,celseq,celseq,0,10
celseq_D72_53-0,D7,ductal,human,celseq,celseq,0,1
celseq_D72_61-0,D7,ductal,human,celseq,celseq,0,10
celseq_D72_65-0,D7,ductal,human,celseq,celseq,0,1
celseq_D72_66-0,D7,ductal,human,celseq,celseq,0,1
celseq_D72_67-0,D7,alpha,human,celseq,celseq,0,0
celseq_D72_68-0,D7,ductal,human,celseq,celseq,0,1
celseq_D72_69-0,D7,delta,human,celseq,celseq,0,11
celseq_D72_71-0,D7,delta,human,celseq,celseq,0,11
celseq_D72_72-0,D7,ductal,human,celseq,celseq,0,1
celseq_D72_75-0,D7,delta,human,celseq,celseq,0,11
celseq_D72_76-0,D7,ductal,human,celseq,celseq,0,1
celseq_D72_78-0,D7,ductal,human,celseq,celseq,0,10
celseq_D72_81-0,D7,beta,human,celseq,celseq,0,4
celseq_D72_82-0,D7,ductal,human,celseq,celseq,0,1
celseq_D72_84-0,D7,beta,human,celseq,celseq,0,4
celseq_D72_85-0,D7,alpha,human,celseq,celseq,0,0
celseq_D72_86-0,D7,ductal,human,celseq,celseq,0,10
celseq_D72_88-0,D7,alpha,human,celseq,celseq,0,0
celseq_D72_91-0,D7,alpha,human,celseq,celseq,0,0
celseq_D72_93-0,D7,ductal,human,celseq,celseq,0,1
celseq_D72_95-0,D7,acinar,human,celseq,celseq,0,5
celseq_D72_96-0,D7,beta,human,celseq,celseq,0,4
celseq_D73_1-0,D7,alpha,human,celseq,celseq,0,0
celseq_D73_2-0,D7,ductal,human,celseq,celseq,0,10
celseq_D73_3-0,D7,alpha,human,celseq,celseq,0,0
celseq_D73_4-0,D7,beta,human,celseq,celseq,0,4
celseq_D73_5-0,D7,ductal,human,celseq,celseq,0,1
celseq_D73_6-0,D7,alpha,human,celseq,celseq,0,0
celseq_D73_8-0,D7,ductal,human,celseq,celseq,0,1
celseq_D73_9-0,D7,beta,human,celseq,celseq,0,4
celseq_D73_10-0,D7,alpha,human,celseq,celseq,0,0
celseq_D73_11-0,D7,ductal,human,celseq,celseq,0,1
celseq_D73_12-0,D7,beta,human,celseq,celseq,0,4
celseq_D73_14-0,D7,alpha,human,celseq,celseq,0,0
celseq_D73_16-0,D7,stellate,human,celseq,celseq,0,13
celseq_D73_17-0,D7,alpha,human,celseq,celseq,0,0
celseq_D73_18-0,D7,ductal,human,celseq,celseq,0,1
celseq_D73_19-0,D7,ductal,human,celseq,celseq,0,1
celseq_D73_20-0,D7,gamma,human,celseq,celseq,0,17
celseq_D73_21-0,D7,beta,human,celseq,celseq,0,4
celseq_D73_22-0,D7,beta,human,celseq,celseq,0,4
celseq_D73_23-0,D7,ductal,human,celseq,celseq,0,1
celseq_D73_24-0,D7,ductal,human,celseq,celseq,0,1
celseq_D73_25-0,D7,ductal,human,celseq,celseq,0,1
celseq_D73_26-0,D7,ductal,human,celseq,celseq,0,1
celseq_D73_27-0,D7,ductal,human,celseq,celseq,0,1
celseq_D73_28-0,D7,beta,human,celseq,celseq,0,4
celseq_D73_29-0,D7,ductal,human,celseq,celseq,0,1
celseq_D73_30-0,D7,delta,human,celseq,celseq,0,11
celseq_D73_31-0,D7,alpha,human,celseq,celseq,0,0
celseq_D73_32-0,D7,alpha,human,celseq,celseq,0,0
celseq_D73_33-0,D7,alpha,human,celseq,celseq,0,0
celseq_D73_34-0,D7,ductal,human,celseq,celseq,0,10
celseq_D73_35-0,D7,ductal,human,celseq,celseq,0,1
celseq_D73_36-0,D7,alpha,human,celseq,celseq,0,0
celseq_D73_37-0,D7,acinar,human,celseq,celseq,0,5
celseq_D73_38-0,D7,delta,human,celseq,celseq,0,11
celseq_D73_39-0,D7,stellate,human,celseq,celseq,0,13
celseq_D73_40-0,D7,ductal,human,celseq,celseq,0,1
celseq_D73_41-0,D7,alpha,human,celseq,celseq,0,0
celseq_D73_42-0,D7,beta,human,celseq,celseq,0,4
celseq_D73_43-0,D7,acinar,human,celseq,celseq,0,5
celseq_D73_46-0,D7,ductal,human,celseq,celseq,0,1
celseq_D73_48-0,D7,acinar,human,celseq,celseq,0,5
celseq_D73_49-0,D7,ductal,human,celseq,celseq,0,10
celseq_D73_50-0,D7,ductal,human,celseq,celseq,0,10
celseq_D73_51-0,D7,ductal,human,celseq,celseq,0,1
celseq_D73_52-0,D7,acinar,human,celseq,celseq,0,5
celseq_D73_54-0,D7,ductal,human,celseq,celseq,0,1
celseq_D73_55-0,D7,beta,human,celseq,celseq,0,4
celseq_D73_56-0,D7,endothelial,human,celseq,celseq,0,16
celseq_D73_57-0,D7,ductal,human,celseq,celseq,0,1
celseq_D73_58-0,D7,alpha,human,celseq,celseq,0,0
celseq_D73_59-0,D7,alpha,human,celseq,celseq,0,0
celseq_D73_60-0,D7,ductal,human,celseq,celseq,0,1
celseq_D73_61-0,D7,beta,human,celseq,celseq,0,4
celseq_D73_62-0,D7,beta,human,celseq,celseq,0,4
celseq_D73_63-0,D7,ductal,human,celseq,celseq,0,1
celseq_D73_64-0,D7,ductal,human,celseq,celseq,0,1
celseq_D73_65-0,D7,ductal,human,celseq,celseq,0,1
celseq_D73_67-0,D7,beta,human,celseq,celseq,0,4
celseq_D73_68-0,D7,acinar,human,celseq,celseq,0,5
celseq_D73_69-0,D7,alpha,human,celseq,celseq,0,0
